整体情况：
两个核：
time per syscall : 154540    , syscall name : sys_mknod, mm : -12 pages
time per syscall : 49800     , syscall name : sys_dup, mm : 0 pages
time per syscall : 613       , syscall name : sys_ioctl, mm : 0 pages
time per syscall : 541084    , syscall name : sys_mkdirat, mm : -164 pages
time per syscall : 187200    , syscall name : sys_unlinkat, mm : 4 pages
time per syscall : 467664    , syscall name : sys_openat, mm : -6 pages
time per syscall : 2286240   , syscall name : sys_close, mm : 2486 pages
time per syscall : 35720     , syscall name : sys_lseek, mm : 0 pages
time per syscall : 18899     , syscall name : sys_read, mm : 0 pages
time per syscall : 24449     , syscall name : sys_write, mm : 0 pages
time per syscall : 70688     , syscall name : sys_writev, mm : -2506 pages
time per syscall : 0         , syscall name : sys_exit, mm : 0 pages
time per syscall : 5925      , syscall name : sys_exit_group, mm : 0 pages
time per syscall : 10640     , syscall name : sys_set_tid_address, mm : 0 pages
time per syscall : 33290     , syscall name : sys_futex, mm : -125 pages
time per syscall : 9067      , syscall name : sys_clock_gettime, mm : 0 pages
time per syscall : 8044      , syscall name : sys_rt_sigprocmask, mm : -453 pages
time per syscall : 1884      , syscall name : sys_gettid, mm : 0 pages
time per syscall : 0         , syscall name : sys_shutdown, mm : 0 pages
time per syscall : 53730     , syscall name : sys_brk, mm : -60220 pages
time per syscall : 16234     , syscall name : sys_munmap, mm : 5877 pages
time per syscall : 57998     , syscall name : sys_clone, mm : -15570 pages
time per syscall : 4515640   , syscall name : sys_execve, mm : -250 pages
time per syscall : 25216     , syscall name : sys_mmap, mm : 2 pages
time per syscall : 12507     , syscall name : sys_mprotect, mm : 599 pages
time per syscall : 147       , syscall name : sys_madvise, mm : 0 pages
time per syscall : 374185409 , syscall name : sys_wait4, mm : 2476 pages
time per syscall : 809120    , syscall name : sys_print_vma, mm : 0 pages



unixbench:
